2025-06-03 16:25:52,900 - 开始训练
2025-06-03 16:25:52,901 - 观察空间维度: 3, 动作空间大小: 21
2025-06-03 16:25:57,570 - Episode 104, Reward: -4145.00, Epsilon: 0.050
2025-06-03 16:25:57,607 - Episode 105, Reward: -4100.00, Epsilon: 0.050
2025-06-03 16:25:57,645 - Episode 106, Reward: -4050.50, Epsilon: 0.050
2025-06-03 16:25:57,683 - Episode 107, Reward: -3833.50, Epsilon: 0.050
2025-06-03 16:25:57,719 - Episode 108, Reward: -3910.00, Epsilon: 0.050
2025-06-03 16:25:57,757 - Episode 109, Reward: -4387.50, Epsilon: 0.050
2025-06-03 16:25:57,794 - Episode 110, Reward: -3987.50, Epsilon: 0.050
2025-06-03 16:25:57,832 - Episode 111, Reward: -4077.00, Epsilon: 0.050
2025-06-03 16:25:57,870 - Episode 112, Reward: -3673.50, Epsilon: 0.050
2025-06-03 16:25:57,906 - Episode 113, Reward: -3635.00, Epsilon: 0.050
2025-06-03 16:25:57,943 - Episode 114, Reward: -3503.00, Epsilon: 0.050
2025-06-03 16:25:57,981 - Episode 115, Reward: -4078.50, Epsilon: 0.050
2025-06-03 16:25:58,018 - Episode 116, Reward: -3764.50, Epsilon: 0.050
2025-06-03 16:25:58,057 - Episode 117, Reward: -3584.50, Epsilon: 0.050
2025-06-03 16:25:58,094 - Episode 118, Reward: -4125.00, Epsilon: 0.050
2025-06-03 16:25:58,132 - Episode 119, Reward: -3945.50, Epsilon: 0.050
2025-06-03 16:25:58,170 - Episode 120, Reward: -3497.50, Epsilon: 0.050
2025-06-03 16:25:58,207 - Episode 121, Reward: -4206.50, Epsilon: 0.050
2025-06-03 16:25:58,243 - Episode 122, Reward: -4021.00, Epsilon: 0.050
2025-06-03 16:25:58,281 - Episode 123, Reward: -4351.50, Epsilon: 0.050
2025-06-03 16:25:58,319 - Episode 124, Reward: -4571.00, Epsilon: 0.050
2025-06-03 16:25:58,356 - Episode 125, Reward: -4421.50, Epsilon: 0.050
2025-06-03 16:25:58,394 - Episode 126, Reward: -4057.00, Epsilon: 0.050
2025-06-03 16:25:58,430 - Episode 127, Reward: -4238.50, Epsilon: 0.050
2025-06-03 16:25:58,468 - Episode 128, Reward: -4156.50, Epsilon: 0.050
2025-06-03 16:25:58,506 - Episode 129, Reward: -3883.50, Epsilon: 0.050
2025-06-03 16:25:58,543 - Episode 130, Reward: -4250.00, Epsilon: 0.050
2025-06-03 16:25:58,580 - Episode 131, Reward: -4172.50, Epsilon: 0.050
2025-06-03 16:25:58,617 - Episode 132, Reward: -4448.50, Epsilon: 0.050
2025-06-03 16:25:58,654 - Episode 133, Reward: -3970.50, Epsilon: 0.050
2025-06-03 16:25:58,692 - Episode 134, Reward: -3481.00, Epsilon: 0.050
2025-06-03 16:25:58,729 - Episode 135, Reward: -4195.00, Epsilon: 0.050
2025-06-03 16:25:58,766 - Episode 136, Reward: -4082.50, Epsilon: 0.050
2025-06-03 16:25:58,803 - Episode 137, Reward: -3968.00, Epsilon: 0.050
2025-06-03 16:25:58,840 - Episode 138, Reward: -3676.50, Epsilon: 0.050
2025-06-03 16:25:58,876 - Episode 139, Reward: -4012.00, Epsilon: 0.050
2025-06-03 16:25:58,914 - Episode 140, Reward: -4234.50, Epsilon: 0.050
2025-06-03 16:25:58,951 - Episode 141, Reward: -3300.50, Epsilon: 0.050
2025-06-03 16:25:58,991 - Episode 142, Reward: -4068.50, Epsilon: 0.050
2025-06-03 16:25:59,028 - Episode 143, Reward: -4226.00, Epsilon: 0.050
2025-06-03 16:25:59,065 - Episode 144, Reward: -3573.00, Epsilon: 0.050
2025-06-03 16:25:59,103 - Episode 145, Reward: -4062.50, Epsilon: 0.050
2025-06-03 16:25:59,140 - Episode 146, Reward: -4413.00, Epsilon: 0.050
2025-06-03 16:25:59,177 - Episode 147, Reward: -3937.50, Epsilon: 0.050
2025-06-03 16:25:59,214 - Episode 148, Reward: -3233.00, Epsilon: 0.050
2025-06-03 16:25:59,251 - Episode 149, Reward: -3866.00, Epsilon: 0.050
2025-06-03 16:25:59,288 - Episode 150, Reward: -4461.50, Epsilon: 0.050
2025-06-03 16:25:59,326 - Episode 151, Reward: -4477.00, Epsilon: 0.050
2025-06-03 16:25:59,363 - Episode 152, Reward: -4583.00, Epsilon: 0.050
2025-06-03 16:25:59,400 - Episode 153, Reward: -4520.50, Epsilon: 0.050
2025-06-03 16:25:59,437 - Episode 154, Reward: -3809.00, Epsilon: 0.050
2025-06-03 16:25:59,474 - Episode 155, Reward: -4105.00, Epsilon: 0.050
2025-06-03 16:25:59,511 - Episode 156, Reward: -4447.00, Epsilon: 0.050
2025-06-03 16:25:59,548 - Episode 157, Reward: -4235.50, Epsilon: 0.050
2025-06-03 16:25:59,585 - Episode 158, Reward: -4249.00, Epsilon: 0.050
2025-06-03 16:25:59,622 - Episode 159, Reward: -3897.00, Epsilon: 0.050
2025-06-03 16:25:59,661 - Episode 160, Reward: -3641.50, Epsilon: 0.050
2025-06-03 16:25:59,698 - Episode 161, Reward: -4233.00, Epsilon: 0.050
2025-06-03 16:25:59,735 - Episode 162, Reward: -4038.50, Epsilon: 0.050
2025-06-03 16:25:59,772 - Episode 163, Reward: -3798.50, Epsilon: 0.050
2025-06-03 16:25:59,810 - Episode 164, Reward: -3813.50, Epsilon: 0.050
2025-06-03 16:25:59,848 - Episode 165, Reward: -4318.00, Epsilon: 0.050
2025-06-03 16:25:59,885 - Episode 166, Reward: -4129.00, Epsilon: 0.050
2025-06-03 16:25:59,922 - Episode 167, Reward: -4015.00, Epsilon: 0.050
2025-06-03 16:25:59,959 - Episode 168, Reward: -4067.50, Epsilon: 0.050
2025-06-03 16:25:59,997 - Episode 169, Reward: -4655.00, Epsilon: 0.050
2025-06-03 16:26:00,035 - Episode 170, Reward: -4784.00, Epsilon: 0.050
2025-06-03 16:26:00,072 - Episode 171, Reward: -3740.00, Epsilon: 0.050
2025-06-03 16:26:00,109 - Episode 172, Reward: -3692.50, Epsilon: 0.050
2025-06-03 16:26:00,146 - Episode 173, Reward: -4019.50, Epsilon: 0.050
2025-06-03 16:26:00,184 - Episode 174, Reward: -4210.50, Epsilon: 0.050
2025-06-03 16:26:00,221 - Episode 175, Reward: -4575.00, Epsilon: 0.050
2025-06-03 16:26:00,258 - Episode 176, Reward: -4254.50, Epsilon: 0.050
2025-06-03 16:26:00,296 - Episode 177, Reward: -4263.00, Epsilon: 0.050
2025-06-03 16:26:00,334 - Episode 178, Reward: -3596.50, Epsilon: 0.050
2025-06-03 16:26:00,371 - Episode 179, Reward: -3894.00, Epsilon: 0.050
2025-06-03 16:26:00,409 - Episode 180, Reward: -3403.00, Epsilon: 0.050
2025-06-03 16:26:00,447 - Episode 181, Reward: -3944.50, Epsilon: 0.050
2025-06-03 16:26:00,485 - Episode 182, Reward: -4255.00, Epsilon: 0.050
2025-06-03 16:26:00,522 - Episode 183, Reward: -4200.50, Epsilon: 0.050
2025-06-03 16:26:00,559 - Episode 184, Reward: -4374.50, Epsilon: 0.050
2025-06-03 16:26:00,596 - Episode 185, Reward: -3656.00, Epsilon: 0.050
2025-06-03 16:26:00,633 - Episode 186, Reward: -4185.00, Epsilon: 0.050
2025-06-03 16:26:00,670 - Episode 187, Reward: -4599.50, Epsilon: 0.050
2025-06-03 16:26:00,707 - Episode 188, Reward: -4922.50, Epsilon: 0.050
2025-06-03 16:26:00,744 - Episode 189, Reward: -3322.50, Epsilon: 0.050
2025-06-03 16:26:00,782 - Episode 190, Reward: -4078.50, Epsilon: 0.050
2025-06-03 16:26:00,819 - Episode 191, Reward: -3900.00, Epsilon: 0.050
2025-06-03 16:26:00,856 - Episode 192, Reward: -4123.50, Epsilon: 0.050
2025-06-03 16:26:00,925 - Episode 193, Reward: -4275.00, Epsilon: 0.050
2025-06-03 16:26:00,963 - Episode 194, Reward: -3952.50, Epsilon: 0.050
2025-06-03 16:26:01,002 - Episode 195, Reward: -3780.00, Epsilon: 0.050
2025-06-03 16:26:01,040 - Episode 196, Reward: -3617.50, Epsilon: 0.050
2025-06-03 16:26:01,077 - Episode 197, Reward: -3779.50, Epsilon: 0.050
2025-06-03 16:26:01,114 - Episode 198, Reward: -4582.50, Epsilon: 0.050
